Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Cycling duration (ms),Walking duration (ms),Running duration (ms),Calisthenics duration (ms)
2023-07-08,18,1328.5656443202347,661.8788265943313,,,0.3457367811641478,1.0155216178318327,0.2612250277686477,1417,,,,,546102,,
2023-07-09,26,1521.174844528083,585.5859144808329,14.0,14,0.3641700663232603,1.1667530309937677,0.2813192606739283,1216,,,,,864644,,828000
2023-07-10,44,1542.165952723725,1138.2360187898864,15.0,15,0.4698873275767894,1.1070174465511808,0.2594325910350123,2265,,,,,1143402,,969000
2023-07-11,5,1319.751124075654,328.45061486646944,,,0.3844232529118536,1.0882203345500527,0.2511779113160074,765,,,,,314851,,
2023-07-12,10,1332.0251873458324,472.7632298775562,,,0.4715717113401652,1.306220414615912,0.28131924372167527,1074,,,,,636864,,
2023-07-13,12,1318.9497932506863,594.0607547669172,,,0.3844364755706891,1.0464653083799145,0.2511779113160074,1334,,,,,293830,,
2023-07-14,17,1516.0509950435137,202.76320636891194,15.0,15,0.35666509513550815,1.0502769220403452,0.2813192606739283,624,,,,,262314,,938000
2023-07-15,18,1328.511544132506,793.047593508306,,,0.4317225508359054,0.9460709188006139,0.25652213271975605,1516,,,,,544685,,
2023-07-16,79,1442.3954522079348,2947.850309060398,1.0,1,0.4573632247748792,1.4940500484275774,0.2612250277686477,5622,,,,,3532446,,
2023-07-17,81,1487.3926269460494,3214.3630772569427,3.0,3,0.4810623750395324,1.6183668889206284,0.2511779113160074,5763,,,,,4712092,,
2023-07-18,17,1330.972299900818,810.0061111516536,,,0.3794796937430231,1.106010935222889,0.2511779113160074,1528,,,,,609241,,
2023-07-19,10,1319.2490788095085,385.80927178138734,,,0.4060273983932027,0.6845796862641869,0.2511779113160074,908,,,,,301680,,
2023-07-20,30,1518.3516266402737,560.0262710701701,16.0,16,0.3683138065976989,0.605579637882637,0.283879647111179,1189,,,,,375356,,998000
2023-07-21,45,1520.0331023897193,1172.3879896294595,16.0,16,0.38230187260773607,0.8377515462671428,0.2511779113160074,2203,,,,,450073,,1009000
2023-07-22,55,1353.032057960429,1994.6569893828741,,,0.4233246318353198,1.1801168044582264,0.2511779113160074,3775,,,,,769523,177289,
2023-07-23,59,1602.1441245312556,1234.9295921394635,20.0,20,0.42721709480285236,1.02851575474336,0.2612250277686477,2355,,,,,629775,,1256000
2023-07-24,29,1348.425919092881,1289.7115805966585,,,0.5429902724473836,1.1520262832457657,0.2612250277686477,2446,,,,,1067141,,
